Datafile Ver 1.0, dynamic , 2021-06-25 14:34:46
Date , 2021-06-25 14:34:46
Filename , accelFile.csv
Measure Interval , 0.01
Channel Number , 5
DateTime , Elasped_Time(sec) , CH1 , CH2, CH3 , CH4 , CH5
2021-06-25 14:34:41, 0.00, *+05554+00156+32718+32722+32732$
2021-06-25 14:34:41, 0.01, *+05555+00157+32718+32722+32732$
2021-06-25 14:34:41, 0.02, *+05556+00161+32718+32722+32732$
2021-06-25 14:34:41, 0.03, *+05557+00159+32718+32722+32732$
2021-06-25 14:34:41, 0.04, *+05558+00155+32718+32722+32732$
2021-06-25 14:34:41, 0.06, *+05559+00162+32718+32722+32732$
2021-06-25 14:34:41, 0.07, *+05560+00162+32718+32722+32732$
2021-06-25 14:34:41, 0.08, *+05561+00153+32718+32722+32732$
2021-06-25 14:34:41, 0.09, *+05562+00159+32718+32722+32732$
2021-06-25 14:34:41, 0.10, *+05563+00158+32718+32722+32732$
2021-06-25 14:34:41, 0.11, *+05564+00154+32718+32722+32732$
2021-06-25 14:34:41, 0.12, *+05565+00159+32718+32722+32732$
2021-06-25 14:34:41, 0.13, *+05566+00160+32718+32722+32732$
2021-06-25 14:34:41, 0.15, *+05567+00157+32718+32722+32732$
2021-06-25 14:34:41, 0.16, *+05568+00158+32718+32722+32732$
2021-06-25 14:34:41, 0.17, *+05569+00161+32718+32722+32732$
2021-06-25 14:34:41, 0.18, *+05570+00153+32718+32722+32732$
2021-06-25 14:34:41, 0.19, *+05571+00161+32718+32722+32732$
2021-06-25 14:34:41, 0.20, *+05572+00163+32718+32722+32732$
2021-06-25 14:34:41, 0.21, *+05573+00154+32718+32722+32732$
2021-06-25 14:34:41, 0.23, *+05574+00157+32718+32722+32732$
2021-06-25 14:34:41, 0.24, *+05575+00160+32718+32722+32732$
2021-06-25 14:34:41, 0.25, *+05576+00159+32718+32722+32732$
2021-06-25 14:34:41, 0.26, *+05577+00159+32718+32722+32732$
2021-06-25 14:34:41, 0.27, *+05578+00161+32718+32722+32732$
2021-06-25 14:34:41, 0.28, *+05579+00152+32718+32722+32732$
2021-06-25 14:34:41, 0.29, *+05580+00156+32718+32722+32732$
2021-06-25 14:34:41, 0.30, *+05581+00164+32718+32722+32732$
2021-06-25 14:34:41, 0.32, *+05582+00153+32718+32722+32732$
2021-06-25 14:34:41, 0.33, *+05583+00158+32718+32722+32732$
2021-06-25 14:34:41, 0.34, *+05584+00162+32718+32722+32732$
2021-06-25 14:34:41, 0.35, *+05585+00156+32718+32722+32732$
2021-06-25 14:34:41, 0.36, *+05586+00158+32718+32722+32732$
2021-06-25 14:34:42, 0.37, *+05587+00162+32718+32722+32732$
2021-06-25 14:34:42, 0.38, *+05588+00160+32718+32722+32732$
2021-06-25 14:34:42, 0.39, *+05589+00157+32718+32722+32732$
2021-06-25 14:34:42, 0.41, *+05590+00163+32718+32722+32732$
2021-06-25 14:34:42, 0.42, *+05591+00154+32718+32722+32732$
2021-06-25 14:34:42, 0.43, *+05592+00153+32718+32722+32732$
2021-06-25 14:34:42, 0.44, *+05593+00164+32718+32722+32732$
2021-06-25 14:34:42, 0.45, *+05594+00159+32718+32722+32732$
2021-06-25 14:34:42, 0.46, *+05595+00157+32718+32722+32732$
2021-06-25 14:34:42, 0.47, *+05596+00159+32718+32722+32732$
2021-06-25 14:34:42, 0.48, *+05597+00159+32718+32722+32732$
2021-06-25 14:34:42, 0.50, *+05598+00155+32718+32722+32732$
2021-06-25 14:34:42, 0.51, *+05599+00163+32718+32722+32732$
2021-06-25 14:34:42, 0.52, *+05600+00160+32718+32722+32732$
2021-06-25 14:34:42, 0.53, *+05601+00151+32718+32722+32732$
2021-06-25 14:34:42, 0.54, *+05602+00162+32718+32722+32732$
2021-06-25 14:34:42, 0.55, *+05603+00156+32718+32722+32732$
2021-06-25 14:34:42, 0.56, *+05604+00155+32718+32722+32732$
2021-06-25 14:34:42, 0.57, *+05605+00159+32718+32722+32732$
2021-06-25 14:34:42, 0.59, *+05606+00159+32718+32722+32732$
2021-06-25 14:34:42, 0.60, *+05607+00157+32718+32722+32732$
2021-06-25 14:34:42, 0.61, *+05608+00157+32718+32722+32732$
2021-06-25 14:34:42, 0.62, *+05609+00163+32718+32722+32732$
2021-06-25 14:34:42, 0.63, *+05610+00153+32718+32722+32732$
2021-06-25 14:34:42, 0.64, *+05611+00164+32718+32722+32732$
2021-06-25 14:34:42, 0.65, *+05612+00162+32718+32722+32732$
2021-06-25 14:34:42, 0.66, *+05613+00154+32718+32722+32732$
2021-06-25 14:34:42, 0.68, *+05614+00157+32718+32722+32732$
2021-06-25 14:34:42, 0.69, *+05615+00159+32718+32722+32732$
2021-06-25 14:34:42, 0.70, *+05616+00156+32718+32722+32732$
2021-06-25 14:34:42, 0.71, *+05617+00159+32718+32722+32732$
2021-06-25 14:34:42, 0.72, *+05618+00160+32718+32722+32732$
2021-06-25 14:34:42, 0.73, *+05619+00153+32718+32722+32732$
2021-06-25 14:34:42, 0.74, *+05620+00156+32718+32722+32732$
2021-06-25 14:34:42, 0.75, *+05621+00163+32718+32722+32732$
2021-06-25 14:34:42, 0.77, *+05622+00153+32718+32722+32732$
2021-06-25 14:34:42, 0.78, *+05623+00160+32718+32722+32732$
2021-06-25 14:34:42, 0.79, *+05624+00165+32718+32722+32732$
2021-06-25 14:34:42, 0.80, *+05625+00158+32718+32722+32732$
2021-06-25 14:34:42, 0.81, *+05626+00160+32718+32722+32732$
2021-06-25 14:34:42, 0.82, *+05627+00161+32718+32722+32732$
2021-06-25 14:34:42, 0.83, *+05628+00158+32718+32722+32732$
2021-06-25 14:34:42, 0.84, *+05629+00156+32718+32722+32732$
2021-06-25 14:34:42, 0.86, *+05630+00165+32718+32722+32732$
2021-06-25 14:34:42, 0.87, *+05631+00153+32718+32722+32732$
2021-06-25 14:34:42, 0.88, *+05632+00155+32718+32722+32732$
2021-06-25 14:34:42, 0.89, *+05633+00163+32718+32722+32732$
2021-06-25 14:34:42, 0.90, *+05634+00157+32718+32722+32732$
2021-06-25 14:34:42, 0.91, *+05635+00157+32718+32722+32732$
2021-06-25 14:34:42, 0.92, *+05636+00157+32718+32722+32732$
2021-06-25 14:34:42, 0.93, *+05637+00159+32718+32722+32732$
2021-06-25 14:34:42, 0.95, *+05638+00157+32718+32722+32732$
2021-06-25 14:34:42, 0.96, *+05639+00164+32718+32722+32732$
2021-06-25 14:34:42, 0.97, *+05640+00161+32718+32722+32732$
2021-06-25 14:34:42, 0.98, *+05641+00152+32718+32722+32732$
2021-06-25 14:34:42, 0.99, *+05642+00162+32718+32722+32732$
2021-06-25 14:34:42, 1.00, *+05643+00158+32718+32722+32732$
2021-06-25 14:34:42, 1.01, *+05644+00153+32718+32722+32732$
2021-06-25 14:34:42, 1.02, *+05645+00160+32718+32722+32732$
2021-06-25 14:34:42, 1.04, *+05646+00158+32718+32722+32732$
2021-06-25 14:34:42, 1.05, *+05647+00155+32718+32722+32732$
2021-06-25 14:34:42, 1.06, *+05648+00159+32718+32722+32732$
2021-06-25 14:34:42, 1.07, *+05649+00162+32718+32722+32732$
2021-06-25 14:34:42, 1.08, *+05650+00152+32718+32722+32732$
2021-06-25 14:34:42, 1.09, *+05651+00162+32718+32722+32732$
2021-06-25 14:34:42, 1.10, *+05652+00165+32718+32722+32732$
2021-06-25 14:34:42, 1.11, *+05653+00152+32718+32722+32732$
2021-06-25 14:34:42, 1.12, *+05654+00159+32718+32722+32732$
2021-06-25 14:34:42, 1.14, *+05655+00159+32718+32722+32732$
2021-06-25 14:34:42, 1.15, *+05656+00158+32718+32722+32732$
2021-06-25 14:34:42, 1.16, *+05657+00157+32718+32722+32732$
2021-06-25 14:34:42, 1.17, *+05658+00160+32718+32722+32732$
2021-06-25 14:34:42, 1.18, *+05659+00151+32718+32722+32732$
2021-06-25 14:34:42, 1.19, *+05660+00159+32718+32722+32732$
2021-06-25 14:34:42, 1.20, *+05661+00165+32718+32722+32732$
2021-06-25 14:34:42, 1.21, *+05662+00152+32718+32722+32732$
2021-06-25 14:34:42, 1.23, *+05663+00159+32718+32722+32732$
2021-06-25 14:34:42, 1.24, *+05664+00162+32718+32722+32732$
2021-06-25 14:34:42, 1.25, *+05665+00157+32718+32722+32732$
2021-06-25 14:34:42, 1.26, *+05666+00159+32718+32722+32732$
2021-06-25 14:34:42, 1.27, *+05667+00159+32718+32722+32732$
2021-06-25 14:34:42, 1.28, *+05668+00161+32718+32722+32732$
2021-06-25 14:34:42, 1.29, *+05669+00155+32718+32722+32732$
2021-06-25 14:34:42, 1.30, *+05670+00165+32718+32722+32732$
2021-06-25 14:34:42, 1.32, *+05671+00156+32718+32722+32732$
2021-06-25 14:34:42, 1.33, *+05672+00152+32718+32722+32732$
2021-06-25 14:34:42, 1.34, *+05673+00165+32718+32722+32732$
2021-06-25 14:34:42, 1.35, *+05674+00160+32718+32722+32732$
2021-06-25 14:34:42, 1.36, *+05675+00158+32718+32722+32732$
2021-06-25 14:34:43, 1.37, *+05676+00160+32718+32722+32732$
2021-06-25 14:34:43, 1.38, *+05677+00159+32718+32722+32732$
2021-06-25 14:34:43, 1.40, *+05678+00156+32718+32722+32732$
2021-06-25 14:34:43, 1.41, *+05679+00164+32718+32722+32732$
2021-06-25 14:34:43, 1.42, *+05680+00160+32718+32722+32732$
2021-06-25 14:34:43, 1.43, *+05681+00153+32718+32722+32732$
2021-06-25 14:34:43, 1.44, *+05682+00164+32718+32722+32732$
2021-06-25 14:34:43, 1.45, *+05683+00159+32718+32722+32732$
2021-06-25 14:34:43, 1.46, *+05684+00153+32718+32722+32732$
2021-06-25 14:34:43, 1.47, *+05685+00158+32718+32722+32732$
2021-06-25 14:34:43, 1.48, *+05686+00159+32718+32722+32732$
2021-06-25 14:34:43, 1.50, *+05687+00157+32718+32722+32732$
2021-06-25 14:34:43, 1.51, *+05688+00157+32718+32722+32732$
2021-06-25 14:34:43, 1.52, *+05689+00160+32718+32722+32732$
2021-06-25 14:34:43, 1.53, *+05690+00151+32718+32722+32732$
2021-06-25 14:34:43, 1.54, *+05691+00163+32718+32722+32732$
2021-06-25 14:34:43, 1.55, *+05692+00163+32718+32722+32732$
2021-06-25 14:34:43, 1.56, *+05693+00157+32718+32722+32732$
2021-06-25 14:34:43, 1.57, *+05694+00158+32718+32722+32732$
2021-06-25 14:34:43, 1.59, *+05695+00158+32718+32722+32732$
2021-06-25 14:34:43, 1.60, *+05696+00157+32718+32722+32732$
2021-06-25 14:34:43, 1.61, *+05697+00159+32718+32722+32732$
2021-06-25 14:34:43, 1.62, *+05698+00162+32718+32722+32732$
2021-06-25 14:34:43, 1.63, *+05699+00152+32718+32722+32732$
2021-06-25 14:34:43, 1.64, *+05700+00157+32718+32722+32732$
2021-06-25 14:34:43, 1.65, *+05701+00162+32718+32722+32732$
2021-06-25 14:34:43, 1.66, *+05702+00152+32718+32722+32732$
2021-06-25 14:34:43, 1.68, *+05703+00160+32718+32722+32732$
2021-06-25 14:34:43, 1.69, *+05704+00163+32718+32722+32732$
2021-06-25 14:34:43, 1.70, *+05705+00158+32718+32722+32732$
2021-06-25 14:34:43, 1.71, *+05706+00157+32718+32722+32732$
2021-06-25 14:34:43, 1.72, *+05707+00161+32718+32722+32732$
2021-06-25 14:34:43, 1.73, *+05708+00159+32718+32722+32732$
2021-06-25 14:34:43, 1.74, *+05709+00158+32718+32722+32732$
2021-06-25 14:34:43, 1.76, *+05710+00163+32718+32722+32732$
2021-06-25 14:34:43, 1.77, *+05711+00151+32718+32722+32732$
2021-06-25 14:34:43, 1.78, *+05712+00153+32718+32722+32732$
2021-06-25 14:34:43, 1.79, *+05713+00162+32718+32722+32732$
2021-06-25 14:34:43, 1.80, *+05714+00155+32718+32722+32732$
2021-06-25 14:34:43, 1.81, *+05715+00157+32718+32722+32732$
2021-06-25 14:34:43, 1.82, *+05716+00159+32718+32722+32732$
2021-06-25 14:34:43, 1.83, *+05717+00159+32718+32722+32732$
2021-06-25 14:34:43, 1.84, *+05718+00155+32718+32722+32732$
2021-06-25 14:34:43, 1.86, *+05719+00161+32718+32722+32732$
2021-06-25 14:34:43, 1.87, *+05720+00160+32718+32722+32732$
2021-06-25 14:34:43, 1.88, *+05721+00151+32718+32722+32732$
2021-06-25 14:34:43, 1.89, *+05722+00165+32718+32722+32732$
2021-06-25 14:34:43, 1.90, *+05723+00159+32718+32722+32732$
2021-06-25 14:34:43, 1.91, *+05724+00153+32718+32722+32732$
2021-06-25 14:34:43, 1.92, *+05725+00158+32718+32722+32732$
2021-06-25 14:34:43, 1.93, *+05726+00161+32718+32722+32732$
2021-06-25 14:34:43, 1.95, *+05727+00154+32718+32722+32732$
2021-06-25 14:34:43, 1.96, *+05728+00157+32718+32722+32732$
2021-06-25 14:34:43, 1.97, *+05729+00161+32718+32722+32732$
2021-06-25 14:34:43, 1.98, *+05730+00154+32718+32722+32732$
2021-06-25 14:34:43, 1.99, *+05731+00165+32718+32722+32732$
2021-06-25 14:34:43, 2.00, *+05732+00164+32718+32722+32732$
2021-06-25 14:34:43, 2.01, *+05733+00153+32718+32722+32732$
2021-06-25 14:34:43, 2.02, *+05734+00159+32718+32722+32732$
2021-06-25 14:34:43, 2.04, *+05735+00159+32718+32722+32732$
2021-06-25 14:34:43, 2.05, *+05736+00160+32718+32722+32732$
2021-06-25 14:34:43, 2.06, *+05737+00158+32718+32722+32732$
2021-06-25 14:34:43, 2.07, *+05738+00165+32718+32722+32732$
2021-06-25 14:34:43, 2.08, *+05739+00152+32718+32722+32732$
2021-06-25 14:34:43, 2.09, *+05740+00156+32718+32722+32732$
2021-06-25 14:34:43, 2.10, *+05741+00166+32718+32722+32732$
2021-06-25 14:34:43, 2.11, *+05742+00156+32718+32722+32732$
2021-06-25 14:34:43, 2.13, *+05743+00159+32718+32722+32732$
2021-06-25 14:34:43, 2.14, *+05744+00162+32718+32722+32732$
2021-06-25 14:34:43, 2.15, *+05745+00157+32718+32722+32732$
2021-06-25 14:34:43, 2.16, *+05746+00157+32718+32722+32732$
2021-06-25 14:34:43, 2.17, *+05747+00160+32718+32722+32732$
2021-06-25 14:34:43, 2.18, *+05748+00160+32718+32722+32732$
2021-06-25 14:34:43, 2.19, *+05749+00156+32718+32722+32732$
2021-06-25 14:34:43, 2.20, *+05750+00163+32718+32722+32732$
2021-06-25 14:34:43, 2.22, *+05751+00152+32718+32722+32732$
2021-06-25 14:34:43, 2.23, *+05752+00152+32718+32722+32732$
2021-06-25 14:34:43, 2.24, *+05753+00163+32718+32722+32732$
2021-06-25 14:34:43, 2.25, *+05754+00157+32718+32722+32732$
2021-06-25 14:34:43, 2.26, *+05755+00158+32718+32722+32732$
2021-06-25 14:34:43, 2.27, *+05756+00159+32718+32722+32732$
2021-06-25 14:34:43, 2.28, *+05757+00159+32718+32722+32732$
2021-06-25 14:34:43, 2.29, *+05758+00157+32718+32722+32732$
2021-06-25 14:34:43, 2.31, *+05759+00166+32718+32722+32732$
2021-06-25 14:34:43, 2.32, *+05760+00159+32718+32722+32732$
2021-06-25 14:34:43, 2.33, *+05761+00154+32718+32722+32732$
2021-06-25 14:34:43, 2.34, *+05762+00162+32718+32722+32732$
2021-06-25 14:34:43, 2.35, *+05763+00159+32718+32722+32732$
2021-06-25 14:34:43, 2.36, *+05764+00152+32718+32722+32732$
2021-06-25 14:34:44, 2.37, *+05765+00160+32718+32722+32732$
2021-06-25 14:34:44, 2.38, *+05766+00160+32718+32722+32732$
2021-06-25 14:34:44, 2.40, *+05767+00158+32718+32722+32732$
2021-06-25 14:34:44, 2.41, *+05768+00158+32718+32722+32732$
2021-06-25 14:34:44, 2.42, *+05769+00162+32718+32722+32732$
2021-06-25 14:34:44, 2.43, *+05770+00151+32718+32722+32732$
2021-06-25 14:34:44, 2.44, *+05771+00165+32718+32722+32732$
2021-06-25 14:34:44, 2.45, *+05772+00164+32718+32722+32732$
2021-06-25 14:34:44, 2.46, *+05773+00153+32718+32722+32732$
2021-06-25 14:34:44, 2.47, *+05774+00157+32718+32722+32732$
2021-06-25 14:34:44, 2.49, *+05775+00160+32718+32722+32732$
2021-06-25 14:34:44, 2.50, *+05776+00157+32718+32722+32732$
2021-06-25 14:34:44, 2.51, *+05777+00157+32718+32722+32732$
2021-06-25 14:34:44, 2.52, *+05778+00163+32718+32722+32732$
2021-06-25 14:34:44, 2.53, *+05779+00152+32718+32722+32732$
2021-06-25 14:34:44, 2.54, *+05780+00156+32718+32722+32732$
2021-06-25 14:34:44, 2.55, *+05781+00162+32718+32722+32732$
2021-06-25 14:34:44, 2.56, *+05782+00150+32718+32722+32732$
2021-06-25 14:34:44, 2.58, *+05783+00156+32718+32722+32732$
2021-06-25 14:34:44, 2.59, *+05784+00165+32718+32722+32732$
2021-06-25 14:34:44, 2.60, *+05785+00157+32718+32722+32732$
2021-06-25 14:34:44, 2.61, *+05786+00159+32718+32722+32732$
